23:19:15.283 | 30 31 31 31 0D 0A 3A 30 31 31 31 38 33 0D 0A    | 0111..:011183..
23:19:15.307 | 3A                                              | :
23:19:15.323 | 30 31 31 32 0D 0A 3A 30 31 31 32 32 30 35 0D 0A | 0112..:0112205..
23:19:15.371 | 3A                                              | :
23:19:15.395 | 30 31 31 33 0D 0A 3A 30 31 31 33 34 32 36 0D 0A | 0113..:0113426..
23:19:15.419 | 3A                                              | :
23:19:15.435 | 30 31 31 34 0D 0A 3A 30 31 31 34 33 30 34 0D 0A | 0114..:0114304..
23:19:15.483 | 3A                                              | :
23:19:15.499 | 30 31 32 32 0D 0A 3A 30 31 32 32 37 0D 0A       | 0122..:01227..
23:19:15.579 | 3A                                              | :
23:19:15.603 | 30 31 30 31 30 30 0D 0A 3A 30 31 30 31 30 30 0D | 010100..:010100.
23:19:15.603 | 0A                                              | .
23:19:15.635 | 3A                                              | :
23:19:15.659 | 30 31 31 30 0D 0A 3A 30 31 31 30 32 33 37 0D 0A | 0110..:0110237..
23:19:15.707 | 3A                                              | :
23:19:15.723 | 30 31 31 31 0D 0A 3A 30 31 31 31 38 33 0D 0A    | 0111..:011183..
23:19:15.755 | 3A                                              | :
23:19:15.771 | 30 31 31 32 0D 0A 3A 30 31 31 32 32 30 36 0D 0A | 0112..:0112206..
23:19:15.819 | 3A                                              | :
23:19:15.843 | 30 31 31 33 0D 0A 3A 30 31 31 33 34 32 35 0D 0A | 0113..:0113425..
23:19:15.859 | 3A                                              | :
23:19:15.883 | 30 31 31 34 0D 0A 3A 30 31 31 34 33 30 33 0D 0A | 0114..:0114303..
23:19:15.931 | 3A                                              | :
23:19:15.947 | 30 31 32 32 0D 0A 3A 30 31 32 32 37 0D 0A       | 0122..:01227..
23:19:15.971 | 3A                                              | :
23:19:15.995 | 30 31 30 31 30 30 0D 0A 3A 30 31 30 31 30 30 0D | 010100..:010100.
23:19:16.003 | 0A                                              | .
23:19:16.043 | 3A                                              | :
23:19:16.059 | 30 31 31 30 0D 0A 3A 30 31 31 30 32 33 37 0D 0A | 0110..:0110237..
23:19:16.083 | 3A                                              | :
23:19:16.107 | 30 31 31 31 0D 0A 3A 30 31 31 31 38 33 0D 0A    | 0111..:011183..
23:19:16.152 | 3A                                              | :
23:19:16.184 | 30 31 31 32 0D 0A 3A 30 31 31 32 32 30 37 0D 0A | 0112..:0112207..
23:19:16.208 | 3A                                              | :
23:19:16.216 | 30 31 31 33 0D 0A 3A 30 31 31 33 34 32 35 0D 0A | 0113..:0113425..
23:19:16.264 | 3A                                              | :
23:19:16.280 | 30 31 31 34 0D 0A 3A 30 31 31 34 33 30 33 0D 0A | 0114..:0114303..
23:19:16.304 | 3A                                              | :
23:19:16.328 | 30 31 32 32 0D 0A 3A 30 31 32 32 37 0D 0A       | 0122..:01227..
23:19:16.376 | 3A                                              | :
23:19:16.392 | 30 31 30 31 30 30 0D 0A 3A 30 31 30 31 30 30 0D | 010100..:010100.
23:19:16.400 | 0A                                              | .
23:19:16.416 | 3A                                              | :
23:19:16.440 | 30 31 31 30 0D 0A 3A 30 31 31 30 32 33 37 0D 0A | 0110..:0110237..
23:19:16.480 | 3A                                              | :
23:19:16.504 | 30 31 31 31 0D 0A 3A 30 31 31 31 38 34 0D 0A    | 0111..:011184..
23:19:16.528 | 3A                                              | :
23:19:16.552 | 30 31 31 32 0D 0A 3A 30 31 31 32 32 30 37 0D 0A | 0112..:0112207..
23:19:16.592 | 3A                                              | :
23:19:16.616 | 30 31 31 33 0D 0A 3A 30 31 31 33 34 32 36 0D 0A | 0113..:0113426..
23:19:16.640 | 3A                                              | :
23:19:16.664 | 30 31 31 34 0D 0A 3A 30 31 31 34 33 30 33 0D 0A | 0114..:0114303..
23:19:16.704 | 3A                                              | :
23:19:16.728 | 30 31 32 32 0D 0A 3A 30 31 32 32 37 0D 0A       | 0122..:01227..
23:19:16.752 | 3A                                              | :
23:19:16.776 | 30 31 30 31 30 30 0D 0A 3A 30 31 30 31 30 30 0D | 010100..:010100.
23:19:16.776 | 0A                                              | .
23:19:16.816 | 3A                                              | :
23:19:16.840 | 30 31 31 30 0D 0A 3A 30 31 31 30 32 33 37 0D 0A | 0110..:0110237..
23:19:16.864 | 3A                                              | :
23:19:16.880 | 30 31 31 31 0D 0A 3A 30 31 31 31 38 34 0D 0A    | 0111..:011184..
23:19:16.928 | 3A                                              | :
23:19:16.952 | 30 31 31 32 0D 0A 3A 30 31 31 32 32 30 37 0D 0A | 0112..:0112207..
23:19:16.976 | 3A                                              | :
23:19:16.992 | 30 31 31 33 0D 0A 3A 30 31 31 33 34 32 36 0D 0A | 0113..:0113426..
23:19:17.040 | 3A                                              | :
